PlayerID,PlayerName,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,TargetsPerSnapLast3,TargetsPerGameLast3,ReceptionsLast3,TotalTargetsLast3,TargetsPerSnap,TargetsPerGame,TotalReceptions,TotalTargets
16787,Breshad Perriman,5,2,null,null,null,8,2,null,7,null,4,8,4,7,1,6,6,6.914893617021277,4.333333333333333,4,13,9.216589861751151,5,30,60
18032,Tyler Higbee,4,5,2,4,2,4,null,4,null,6,4,2,6,2,5,6,4,9.316770186335404,5,10,15,7.361963190184049,4,44,60
21970,James Robinson,1,4,6,4,7,4,6,null,2,5,2,6,6,4,3,null,null,8.333333333333334,3,3,3,9.360374414976599,4.285714285714286,49,60
14916,Giovani Bernard,5,7,3,0,2,3,5,4,null,7,5,3,2,3,1,8,1,10.204081632653061,3.3333333333333335,8,10,11.411992263056092,3.6875,47,59
18047,Demarcus Robinson,6,4,1,0,4,6,1,5,3,null,8,6,2,1,3,2,7,8.695652173913043,4,10,12,8.29817158931083,3.6875,45,59
19491,Robert Tonyan,0,3,5,6,null,4,2,7,1,4,5,5,5,5,3,2,2,6.60377358490566,2.3333333333333335,6,7,9.247648902821316,3.6875,52,59
20792,N'Keal Harry,6,12,4,6,null,2,2,null,null,0,8,2,3,4,2,4,2,6.451612903225806,2.6666666666666665,4,8,9.76027397260274,4.071428571428571,33,57
21684,D'Andre Swift,5,5,2,4,null,4,5,4,5,5,null,null,null,5,5,5,3,11.711711711711711,4.333333333333333,11,13,14.321608040201005,4.384615384615385,46,57
19865,James Washington,3,5,7,null,4,7,1,1,2,2,3,3,4,6,3,3,2,10.666666666666666,2.6666666666666665,2,8,11.522633744855968,3.5,30,56
21759,K.J. Hamler,null,7,5,0,null,null,3,3,10,10,6,0,5,3,4,0,null,7.017543859649122,2,1,4,10.748560460652591,4.3076923076923075,30,56
16003,Sammy Watkins,9,3,8,7,2,null,null,null,null,null,null,7,6,3,6,4,null,7.633587786259542,5,6,10,10.436432637571157,5.5,37,55
17960,Michael Thomas,5,null,null,null,null,null,null,null,6,7,12,6,11,8,null,null,null,null,null,0,0,15.942028985507246,7.857142857142857,40,55
20038,Braxton Berrios,0,8,4,3,2,3,7,11,1,null,0,0,2,5,3,3,3,42.857142857142854,3,8,9,18.900343642611684,3.4375,37,55
21448,Jalen Guyton,1,2,3,1,3,null,3,4,2,6,1,4,7,3,6,5,4,9.67741935483871,5,7,15,5.984766050054407,3.4375,28,55
18103,Jakeem Grant Sr.,3,1,1,5,3,4,null,2,5,5,6,2,6,5,null,6,null,31.57894736842105,6,5,6,14.594594594594595,3.857142857142857,36,54
18872,Dalvin Cook,2,2,5,2,5,null,null,3,2,4,5,4,9,4,5,2,null,7.865168539325842,3.5,7,7,8.071748878923767,3.857142857142857,44,54
21686,Jalen Reagor,4,4,null,null,null,null,null,6,null,7,5,7,1,4,8,7,1,14.814814814814815,5.333333333333333,9,16,10.588235294117647,4.909090909090909,31,54
