PlayerID,PlayerName,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18,TargetShareL3,TargetsPerGameLast3,ReceptionsLast3,TotalTargetsLast3,TargetShare,TargetsPerGame,TotalReceptions,TotalTargets
21754,Donovan Peoples-Jones,1,1,2,0,6,5,null,null,3,5,null,5,null,7,8,6,5,4,15.625,5,7,15,11.623246492985972,4.142857142857143,34,58
20943,Darius Slayton,7,6,1,null,null,null,9,2,1,null,7,4,7,3,3,5,null,3,9.75609756097561,4,3,8,10.33868092691622,4.461538461538462,26,58
19912,Nyheim Hines,8,2,6,2,1,2,3,5,6,4,0,4,4,null,2,1,4,3,9.876543209876543,2.6666666666666665,7,8,11.377245508982035,3.3529411764705883,40,57
20500,Darrel Williams,0,0,3,2,5,4,4,6,4,9,3,null,3,3,1,3,3,4,9.523809523809524,3.3333333333333335,9,10,8.962264150943396,3.3529411764705883,47,57
19766,Saquon Barkley,3,3,7,6,1,null,null,null,null,null,6,5,9,3,8,1,1,4,7.317073170731708,2,4,6,10.16042780748663,4.384615384615385,41,57
22614,Kadarius Toney,2,0,3,9,13,3,null,5,1,null,12,null,null,null,null,9,null,null,10.975609756097562,9,4,9,10.16042780748663,5.7,39,57
21686,Jalen Reagor,6,5,8,1,5,3,2,2,1,2,3,7,1,null,3,4,1,3,9.30232558139535,2.6666666666666665,4,8,12.231759656652361,3.3529411764705883,33,57
16593,Cameron Brate,0,1,5,6,1,4,4,4,null,3,6,4,1,4,4,4,3,3,8.620689655172415,3.3333333333333335,6,10,7.949790794979079,3.3529411764705883,30,57
21734,Nick Westbrook-Ikhine,2,1,4,8,null,3,0,3,1,1,8,6,null,3,7,3,2,5,12.5,3.3333333333333335,6,10,10.940499040307103,3.5625,38,57
21692,Jerry Jeudy,7,null,null,null,null,null,null,4,8,9,null,3,6,6,4,4,null,5,12.5,4.5,5,9,10.852713178294573,5.6,38,56
19976,Marquez Valdes-Scantling,8,4,4,null,null,null,null,null,2,2,10,9,null,5,7,null,3,1,3.6036036036036037,2,1,4,9.666080843585238,5,26,55
20837,Ty Johnson,3,0,5,2,3,null,7,6,3,8,1,1,4,7,null,0,4,1,7.246376811594203,1.6666666666666667,3,5,9.499136442141623,3.4375,34,55
22553,Michael Carter,2,3,3,3,3,null,9,14,2,6,1,null,null,null,2,3,1,3,10.144927536231885,2.3333333333333335,3,7,9.499136442141623,3.9285714285714284,36,55
21675,Tyler Johnson,1,2,6,2,3,0,2,6,null,5,3,1,1,3,7,0,6,7,11.206896551724139,4.333333333333333,9,13,7.670850767085077,3.235294117647059,36,55
19919,Chase Edmonds,4,5,8,5,4,4,3,4,0,null,null,null,null,null,1,9,6,null,13.043478260869565,7.5,13,15,9.281961471103328,4.416666666666667,43,53
21142,Olamide Zaccheaus,0,4,6,3,4,null,1,1,3,7,5,2,5,0,2,4,3,3,13.513513513513514,3.3333333333333335,7,10,9.54954954954955,3.1176470588235294,31,53
18876,David Njoku,5,3,0,2,7,2,2,3,3,4,4,5,null,null,5,2,4,2,8.333333333333334,2.6666666666666665,6,8,10.62124248496994,3.3125,36,53
22558,Javonte Williams,1,1,4,3,3,3,7,4,0,3,null,4,9,2,4,2,1,2,6.944444444444445,1.6666666666666667,5,5,10.271317829457365,3.1176470588235294,43,53
16815,Ameer Abdullah,2,1,0,1,0,0,0,5,5,4,0,6,null,4,4,6,4,11,19.26605504587156,7,16,21,9.217391304347826,3.1176470588235294,38,53
17961,Sterling Shepard,9,10,3,null,null,14,null,7,null,null,null,null,null,4,6,null,null,null,null,null,0,0,9.44741532976827,7.571428571428571,36,53
18464,J.D. McKissic,1,6,2,5,4,10,6,8,null,4,2,5,null,null,null,null,null,null,null,null,0,0,9.925093632958802,4.818181818181818,43,53
19802,Calvin Ridley,8,10,11,13,null,null,10,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,9.36936936936937,10.4,31,52
19659,Dan Arnold,3,4,4,2,8,5,null,10,7,8,0,1,null,null,null,null,null,null,null,null,0,0,8.919382504288164,4.7272727272727275,35,52
21861,Antonio Gibson,5,2,2,2,2,3,2,3,null,2,0,7,6,2,7,4,null,3,8.641975308641975,3.5,3,7,9.737827715355806,3.25,42,52
20882,David Montgomery,1,4,4,0,null,null,null,null,2,null,1,3,9,7,6,9,2,3,12.280701754385966,4.666666666666667,11,14,9.732824427480915,3.923076923076923,42,51
21682,Jonathan Taylor,7,1,1,3,4,2,3,4,2,8,3,5,0,null,0,2,2,4,9.876543209876543,2.6666666666666665,4,8,10.179640718562874,3,40,51
17914,Laquon Treadwell,null,1,null,null,null,1,null,null,1,1,3,8,5,6,9,5,6,5,17.204301075268816,5.333333333333333,13,16,8.747855917667238,4.25,33,51
19514,Keelan Cole,null,0,2,4,3,null,2,5,8,6,1,2,null,6,2,2,5,3,14.492753623188406,3.3333333333333335,7,10,8.808290155440414,3.4,28,51
20941,Devin Singletary,5,3,2,1,2,5,null,1,8,1,4,1,0,7,1,6,1,2,8.108108108108109,3,7,9,8.025682182985554,2.9411764705882355,40,50
22562,Kenneth Gainwell,3,3,4,8,3,2,8,0,0,1,null,4,5,null,1,1,0,7,9.30232558139535,2.6666666666666665,5,8,10.729613733905579,3.125,33,50
19897,Tre'Quan Smith,null,null,null,null,null,null,3,3,4,7,8,5,7,3,3,0,null,7,10.9375,3.5,5,7,10.683760683760683,4.545454545454546,32,50
16003,Sammy Watkins,8,7,7,7,3,null,null,null,null,3,4,1,6,2,null,0,0,1,1.0101010101010102,0.3333333333333333,0,1,8.277027027027026,3.769230769230769,27,49
22613,Joshua Palmer,1,2,0,0,3,4,null,1,2,4,1,2,1,7,1,6,5,9,15.625,6.666666666666667,12,20,7.446808510638298,2.8823529411764706,33,49
18872,Dalvin Cook,7,3,null,6,null,2,null,2,3,5,4,7,null,3,3,null,3,1,4.3478260869565215,2,4,4,8.492201039861351,3.769230769230769,34,49
13741,Brandon Bolden,0,0,4,6,4,1,7,0,2,3,2,4,1,null,5,5,3,2,10.638297872340425,3.3333333333333335,6,10,9.351145038167939,2.8823529411764706,41,49
19410,Ricky Seals-Jones,0,1,0,4,9,6,7,4,null,4,null,null,null,4,7,1,2,null,3.7037037037037037,1.5,2,3,9.176029962546817,3.769230769230769,30,49
19017,Josh Reynolds,null,0,null,9,1,null,3,0,null,null,3,5,7,5,6,7,null,3,10.1010101010101,5,3,10,8.73440285204991,4.083333333333333,29,49
